T,method,complete,mean_spce_nats,sd,uncertainty_unit,mean_online_seconds
3,random,True,0.43214421509884254,0.03096603433619448,evaluation-seed mean,7.145121768796041e-05
3,fixed,True,2.01122652091679,0.011645025375762971,training-seed mean,0.0005231610007791056
3,myopic,True,1.973602045622546,0.04382579656837398,evaluation-seed mean,9.308166414562342
3,dad,True,2.1365696336919795,0.01614445978732618,training-seed mean,0.0005370063524120875
3,rl_sboed,True,2.1257352143426784,0.0027375888006099837,training-seed mean,0.0004915917337105687
3,step_dad,True,2.1471125967705054,0.010954059126765973,training-seed mean,6.342474098442431
4,random,True,0.49239725555095565,0.034166257022491445,evaluation-seed mean,9.445257334543082e-05
4,fixed,True,2.3191783984512226,0.0004286231886352252,training-seed mean,0.0006227741046637271
4,myopic,True,2.1706811359562974,0.036592247211557974,evaluation-seed mean,12.577336922053291
4,dad,True,2.4095213884462643,0.007978384458261921,training-seed mean,0.0006831864579402867
4,rl_sboed,True,2.3963437361050963,0.0332959801585665,training-seed mean,0.000626262551425801
4,step_dad,True,2.438198011741533,0.004805272017517797,training-seed mean,15.808228399227826
5,random,True,0.5392361087336685,0.04708655685032197,evaluation-seed mean,0.00012119385974074248
5,fixed,True,2.5065639257250183,0.001307621802661827,training-seed mean,0.0007659562852495583
5,myopic,True,2.240737847432284,0.05468861460987452,evaluation-seed mean,15.891999925847509
5,dad,True,2.6351448116099174,0.017916592934258988,training-seed mean,0.0008380620197890999
5,rl_sboed,True,2.530681897292961,0.011369733431136396,training-seed mean,0.0007639059080651754
5,step_dad,True,2.662054997604186,0.01450471826670537,training-seed mean,24.349844664688135
