T,training_seed,evaluation_seed,method,n,n_design_replicates,design_replicates_per_system,design_replication_note,terminal_eig_mean,terminal_eig_std,ci95_low,ci95_high,seconds,offline_training_or_calibration_seconds,training_time_seconds,online_seconds_per_rollout,n_unique_sequences,eval_seed,timing_scope
3,101,1001,dad_eig,512,512,1,one deterministic design per held-out system,6.853194887648906,0.23067462755404194,6.833213717458491,6.873176057839321,2.6320114081026986,1221.2921703360043,1221.2921703360043,0.005140647281450583,28,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1001,rl_sboed_eig,512,512,1,one deterministic design per held-out system,6.8496695167832575,0.23344659112830582,6.829448237498373,6.869890796068142,2.395653360057622,1029.9377594169928,1029.9377594169928,0.004679010468862543,26,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1001,step_dad,512,512,1,one deterministic design per held-out system,6.852494746463235,0.23242223510218898,6.832362197492172,6.872627295434299,3193.742890246096,1221.2921703360043,1221.2921703360043,6.237779082511906,114,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1001,myopic_delta_h,512,512,1,one deterministic design per held-out system,6.731367093918779,0.35520442275050845,6.700599080554572,6.762135107282986,3.204182854038663,0.0,0.0,0.006258169636794264,462,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1001,fixed_open_loop,512,512,1,one deterministic design per held-out system,6.295238930488074,0.7017085122392276,6.23445653167904,6.356021329297107,0.19560319103766233,0.0767139419913292,0.0767139419913292,0.00038203748249543423,1,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1001,random,512,16384,32,expected performance averaged over randomized designs,3.761925589902823,1.2184282512001012,3.656384627248248,3.8674665525573984,7.082442480023019,0.0,0.0,0.00043227798339984247,12508,1001,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1002,dad_eig,512,512,1,one deterministic design per held-out system,6.8532536050607975,0.21584674443618432,6.834556834716534,6.871950375405061,2.67754150996916,1221.2921703360043,1221.2921703360043,0.0052295732616585155,30,1002,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1002,rl_sboed_eig,512,512,1,one deterministic design per held-out system,6.858053994516823,0.21887129580699122,6.839095235776477,6.877012753257168,2.3765908740460873,1029.9377594169928,1029.9377594169928,0.004641779050871264,23,1002,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1002,step_dad,512,512,1,one deterministic design per held-out system,6.851422096184342,0.22292450910787573,6.832112245754192,6.870731946614492,3195.7241607340984,1221.2921703360043,1221.2921703360043,6.241648751433786,114,1002,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1002,myopic_delta_h,512,512,1,one deterministic design per held-out system,6.7076895093118765,0.3722054760338341,6.675448854839836,6.739930163783917,3.2100873639574274,0.0,0.0,0.0062697018827293505,476,1002,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,101,1002,fixed_open_loop,512,512,1,one deterministic design per held-out system,6.2685219890272315,0.7020726086734985,6.207708051973633,6.32933592608083,0.19583449605852365,0.0767139419913292,0.0767139419913292,0.000382489250114304,1,1002,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
